Trace,Baseline,diffs,diff1,diff2,diff12,diffs_raw,diff1_raw,diff2_raw,diff12_raw,total_keys
astar_313B,pc_sisb,0.6076842211816793,0.007045081563816845,1.1363880726805838e-05,0.6006277757371357,3475879,40297,65,3435517,5719877
astar_313B,sisb,0.6098531999227957,0.002800404483444431,1.3286973451228416e-05,0.6070395084659,3488292,16018,76,3472198,5719888
astar_313B,bo,1.0,0.8275670418472739,1.923136432718285e-06,0.17243103501629334,5719823,4733537,11,986275,5719823
bfs,pc_sisb,0.31343044086027383,0.0266456666103994,5.492528866689998e-05,0.2867298489612075,1089939,92659,191,997089,3477451
bfs,sisb,0.39600162532282873,0.012701213499611641,5.837589069962786e-05,0.3832420359325175,1377081,44168,203,1332710,3477463
bfs,bo,1.0,0.008227827898870069,5.952608608507284e-05,0.9917126460150448,3477467,28612,207,3448648,3477467
cc,pc_sisb,0.593149663582245,0.06588961724485036,4.070351174393227e-05,0.5272193428256507,1836128,203965,126,1632037,3095556
cc,sisb,0.6001182985426214,0.06443490963503187,4.1349572516489756e-05,0.535642039335073,1857701,199462,128,1658111,3095558
cc,bo,1.0,0.0,4.1349572516489756e-05,0.9999586504274836,3095558,0,128,3095430,3095558
mcf_46B,pc_sisb,0.4736461133473893,0.22171935730711673,2.9112468744878653e-06,0.2519238447933981,9436326,4417256,58,5019012,19922735
mcf_46B,sisb,0.5958381749507473,0.21459678006299332,3.664152790151962e-06,0.3812377307349638,11870735,4275358,73,7595304,19922750
mcf_46B,bo,1.0,1.0,0.0,0.0,19922677,19922677,0,0,19922677
omnetpp_340B,pc_sisb,0.3736556260478478,0.12455247666970709,6.697206227725307e-05,0.24903617731586347,1657045,552351,297,1104397,4434685
omnetpp_340B,sisb,0.43590147159431963,0.0685104701877116,8.884314944905973e-05,0.36730215825715895,1933128,303829,394,1628905,4434782
omnetpp_340B,bo,1.0,0.8132817558009502,2.2776017710270564e-05,0.1866954681813395,4434489,3606489,101,827899,4434489
pr,pc_sisb,0.5368200606950659,0.025337279086605675,1.607164674520454e-05,0.5114667099617151,3273365,154499,98,3118768,6097695
pr,sisb,0.534400161109821,0.02290370277074781,1.75475884037664e-05,0.5114789107506694,3258614,139660,107,3118847,6097704
pr,bo,1.0,0.0,2.4763240461888553e-05,0.9999752367595381,6097748,0,151,6097597,6097748
soplex_66B,pc_sisb,0.27269234136806586,0.07131249083018207,0.00010870671254336437,0.20127114382534042,1843758,482166,735,1360857,6761312
soplex_66B,sisb,0.4651103529332771,0.02345429653304953,0.0001413880550460968,0.4415146683451815,3144859,158587,956,2985316,6761533
soplex_66B,bo,1.0,0.041728942894978686,0.0001427189241743969,0.9581283381808469,6761542,282152,965,6478425,6761542
sphinx3_2520B,pc_sisb,0.04404003109630289,0.010136143411201141,0.00010931170304037557,0.03379457598206138,122477,28189,304,93984,2781038
sphinx3_2520B,sisb,0.052041578032163,0.008779670085477462,0.0001258502080483725,0.043136057738637164,144732,24417,350,119965,2781084
sphinx3_2520B,bo,1.0,0.0,0.00014993792138578594,0.9998500620786143,2781151,0,417,2780734,2781151
xalancbmk_99B,pc_sisb,0.03952291124126144,0.024790259016057553,7.416195970542545e-05,0.014658490265498463,292044,183181,548,108315,7389233
xalancbmk_99B,sisb,0.0935435780468337,0.019533936530337,8.241653397469366e-05,0.07392722498252201,691221,144342,609,546270,7389294
xalancbmk_99B,bo,1.0,0.20977426789009895,6.387738141170907e-05,0.7901618547284893,7389157,1550055,472,5838630,7389157
